query,search interest,increase percent
ai gemini,100,Breakout
gemini ai,94,Breakout
gemini,93,Breakout
ai photo,48,1400%
ai image,48,750%
google ai,47,110%
ai chatgpt,37,Breakout
chatgpt ai,36,Breakout
ai remaker,31,Breakout
remaker ai,30,Breakout
what is ai,27,-5%
chat ai,22,1100%
ai chat,21,1050%
ai studio,19,1850%
image generator ai,18,Breakout
open ai,17,160%
ai image generator,17,Breakout
gpt,14,Breakout
bard ai,14,Breakout
gemini ai photo,13,Breakout
face swap ai,13,Breakout
bard,13,Breakout
google gemini,12,Breakout
ai face swap,12,Breakout
google gemini ai,12,Breakout
ai tools,12,350%
google studio ai,12,Breakout
grok ai,12,Breakout
google ai studio,11,Breakout
grok,11,Breakout
chat gpt,11,Breakout
chat gpt ai,11,Breakout
ai video generator,10,Breakout
character ai,10,1550%
claude ai,10,Breakout
blackbox ai,10,Breakout
bing,10,Breakout
ai photo editor,10,4400%
perplexity ai,9,Breakout
claude,9,Breakout
bing ai,9,Breakout
perplexity,9,Breakout
ai website,9,250%
meta ai,9,Breakout
gamma ai,9,Breakout
gamma,9,Breakout
remaker ai face,8,Breakout
generative ai,8,Breakout
remaker ai face swap,8,Breakout
leonardo ai,7,Breakout
